Código;Descrição;Unidade;Valor unitário;Favorita
5000000658;ORD. ENTREG. P/POSTERIOR AJUST MEDIÇAO;UN;1;
5000000658;INST ATERRAMENTO COMPL 1HASTE LM;UN;226,79;
5000000658;INST COND COBERTO RDC 35-70MM2 LM;UN;9,97;
5000000658;INST COND COBERTO RDC 95-185MM2 LM;UN;14,06;
5000000658;RET COND COBERTO RDC 95-185MM2 LM;UN;8,22;
5000000658;RET COND COBERTO RDC 35-70MM2 LM;UN;6,06;
5000000658;INST ATERRAMENTO COMPL 3HASTES LM;UN;499,44;
5000000658;INST ATERRAMENTO COMPL 5-8HASTES LM;UN;801,33;
5000000658;INST 1HASTE ADICIONAL ATERRAMENTO LM;UN;117,81;
5000000658;INST FIO TERRA LM;UN;99,18;
5000000658;INST SECCION E ATERRAM CERCA LM;UN;262,99;
5000000658;RET SECCION E ATERRAM CERCA LM;UN;252,45;
5000000658;TRATAMENTO QUIMICO DE SOLO P/ ATERRAM LM;UN;278,45;
5000000658;MEDIR RESISTENCIA ATERRAMENTO LM;UN;270,38;
5000000658;INST CHAVE FUSIVEL RELIG LM;UN;931,43;
5000000658;RET CHAVE FUSIVEL RELIG LM;UN;568,17;
5000000658;INST ESTR CP CHAVE FUSIVEL RELIG 1/2F LM;UN;1680,18;
5000000658;RET ESTR CP CHAVE FUSIVEL RELIG 1/2F LM;UN;996,23;
5000000658;INST ESTR CP CHAVE FUSIVEL RELIG 3F LM;UN;2520,13;
5000000658;RET ESTR CP CHAVE FUSIVEL RELIG 3F LM;UN;1732,62;
5000000658;INST CHAVE FUSIVEL 15/25KV LM;UN;536,07;
5000000658;RET CHAVE FUSIVEL 15/25KV LM;UN;401,07;
5000000658;INST CHAVE FUSIVEL 34,5KV LM;UN;536,07;
5000000658;RET CHAVE FUSIVEL 34,6KV LM;UN;401,07;
5000000658;INST CHAVE FACA LM;UN;536,07;
5000000658;RET CHAVE FACA LM;UN;401,07;
5000000658;INST CHAVE SECCIONADORA A SECO 3F LM;UN;242,48;
5000000658;RET CHAVE SECCIONADORA A SECO 3F LM;UN;175,66;
5000000658;INST CHAVE BY-PASS LM;UN;847,73;
5000000658;RET CHAVE BY-PASS LM;UN;614,08;
5000000658;INST CHAVE A OLEO LM;UN;168,67;
5000000658;RET CHAVE A OLEO LM;UN;126,13;
5000000658;INST ELO FUSIVEL LM;UN;100,03;
5000000658;RET ELO FUSIVEL LM;UN;84,12;
5000000658;OPERAR CHAVE/GRAMPO LV LM;UN;145,48;
5000000658;INST SENSOR FALTA LM;UN;101,87;
5000000658;RET SENSOR FALTA LM;UN;71,51;
5000000658;INST ESTR CP SENSOR FALTA POSTE LM;UN;2168,76;
5000000658;RET ESTR CP SENSOR FALTA POSTE LM;UN;1355,84;
5000000658;INST RELIGADOR 1F POSTE LM;UN;1094,71;
5000000658;RET RELIGADOR 1F POSTE LM;UN;766,22;
5000000658;INST ESTR CP RELIGADOR 1F POSTE LM;UN;3165,94;
5000000658;RET ESTR CP RELIGADOR 1F POSTE LM;UN;2203,71;
5000000658;INST RELIGADOR DIST 1F BASE C LM;UN;207,43;
5000000658;RET RELIGADOR DIST 1F BASE C LM;UN;151,62;
5000000658;INST ESTR CP RELIG DIST 1F BASE C 1F LM;UN;559,42;
5000000658;RET ESTR CP RELIG DIST 1F BASE C 1F LM;UN;447,51;
5000000658;INST RELIGADOR/SECCIONADOR 3F LM;UN;2467,83;
5000000658;RET RELIGADOR/SECCIONADOR 3F LM;UN;1637,86;
5000000658;INST ESTR CP RELIGADOR/SECCIONADOR 3F LM;UN;8918,65;
5000000658;RET ESTR CP RELIGADOR/SECCIONADOR 3F LM;UN;5584,51;
5000000658;INST REGULADOR TENSAO POSTE/PLATAF LM;UN;3481,84;
5000000658;RET REGULADOR TENSAO POSTE/PLATAF LM;UN;1921,17;
5000000658;INST ESTR CP BCO REGULADOR PLATAFORMA LM;UN;11111,75;
5000000658;RET ESTR CP BCO REGULADOR PLATAFORMA LM;UN;5828,73;
5000000658;INST ESTR CP BCO REGULADOR POSTE LM;UN;7940,77;
